season,date,match_name,result,h_odd,d_odd,a_odd
2021/2022,01 Nov 2021,Wolves - Everton,2:1,2.24,3.23,3.62
2021/2022,31 Oct 2021,Aston Villa - West Ham,1:4,2.99,3.55,2.40
2021/2022,31 Oct 2021,Norwich - Leeds,1:2,3.65,3.69,2.04
2021/2022,30 Oct 2021,Tottenham - Manchester Utd,0:3,3.12,3.66,2.28
2021/2022,30 Oct 2021,Burnley - Brentford,3:1,2.64,3.21,2.90
2021/2022,30 Oct 2021,Liverpool - Brighton,2:2,1.28,6.17,10.84
2021/2022,30 Oct 2021,Manchester City - Crystal Palace,0:2,1.15,8.79,19.49
2021/2022,30 Oct 2021,Newcastle - Chelsea,0:3,8.00,4.60,1.45
2021/2022,30 Oct 2021,Watford - Southampton,0:1,3.30,3.47,2.26
2021/2022,30 Oct 2021,Leicester - Arsenal,0:2,2.56,3.52,2.80
2021/2022,24 Oct 2021,Manchester Utd - Liverpool,0:5,2.93,3.70,2.41
2021/2022,24 Oct 2021,Brentford - Leicester,1:2,2.85,3.43,2.58
2021/2022,24 Oct 2021,West Ham - Tottenham,1:0,2.33,3.55,3.14
2021/2022,23 Oct 2021,Brighton - Manchester City,1:4,8.12,4.90,1.43
2021/2022,23 Oct 2021,Crystal Palace - Newcastle,1:1,1.94,3.62,4.18
2021/2022,23 Oct 2021,Everton - Watford,2:5,1.74,3.86,5.18
2021/2022,23 Oct 2021,Leeds - Wolves,1:1,2.43,3.49,3.04
2021/2022,23 Oct 2021,Southampton - Burnley,2:2,1.98,3.66,3.99
2021/2022,23 Oct 2021,Chelsea - Norwich,7:0,1.20,7.28,18.28
2021/2022,22 Oct 2021,Arsenal - Aston Villa,3:1,1.96,3.70,4.04
2021/2022,18 Oct 2021,Arsenal - Crystal Palace,2:2,1.63,4.02,6.01
2021/2022,17 Oct 2021,Newcastle - Tottenham,2:3,3.61,3.65,2.08
2021/2022,17 Oct 2021,Everton - West Ham,0:1,2.77,3.32,2.73
2021/2022,16 Oct 2021,Brentford - Chelsea,0:1,5.96,3.86,1.65
2021/2022,16 Oct 2021,Aston Villa - Wolves,2:3,2.17,3.25,3.82
2021/2022,16 Oct 2021,Leicester - Manchester Utd,4:2,3.69,3.79,2.02
2021/2022,16 Oct 2021,Manchester City - Burnley,2:0,1.14,9.29,21.46
2021/2022,16 Oct 2021,Norwich - Brighton,0:0,4.00,3.50,2.02
2021/2022,16 Oct 2021,Southampton - Leeds,1:0,2.22,3.60,3.32
2021/2022,16 Oct 2021,Watford - Liverpool,0:5,9.05,5.60,1.35
2021/2022,03 Oct 2021,Liverpool - Manchester City,2:2,3.05,3.62,2.35
2021/2022,03 Oct 2021,Crystal Palace - Leicester,2:2,2.84,3.29,2.65
2021/2022,03 Oct 2021,Tottenham - Aston Villa,2:1,2.11,3.44,3.72
2021/2022,03 Oct 2021,West Ham - Brentford,1:2,1.79,3.74,4.87
2021/2022,02 Oct 2021,Brighton - Arsenal,0:0,3.25,3.30,2.38
